deploy_date,deploy_time,download_date,download_time,download_group,name,letter_name,name_order,sn,wp_name,lat,long,depth_m,battery_date,basin,local
25-Jun-20,,10/17/2020 14:00,,10,6,J,14,109369,6_e,45.81095787,-74.78320008,18,25-Jun-20,West Basin,Narrows to Margaret Bay
26-Jun-20,,10/17/2020 14:23,,10,9,M,11,109383,9_e,45.83026306,-74.76744935,15,26-Jun-20,East Basin,In front of Dio Gardi House
21-Jun-20,,10/17/2020 15:11,,10,10,N,10,132370,10_e,45.822105,-74.76227,30,21-Jun-20,East Basin,NE of front of Levesque
3-Jul-20,,10/17/2020 15:38,,10,11,P,8,132366,11_f,45.81248302,-74.75946866,64,3-Jul-20,East Basin,Middle of Big Lake
21-Jun-20,,10/18/2020 10:52,,10,19,Q,7,133571,19_c,45.80827635,-74.76780464,15,21-Jun-20,East Basin,"Presquile bay, half between litt rock and island"
21-Jun-20,,10/14/2020 11:25,,10,23,S,5,109380,23_b,45.80324289,-74.7657308,5,21-Jun-20,East Basin,West side of big shore soal 
26-Jun-20,,14-Jul-21,,11,1,O,9,109389,1_f,45.8152804,-74.77124078,22,26-Jun-20,East Basin,Indian Isl N Shallows
2-Jul-20,,14-Jul-21,,11,2,V,2,132374,2_e,45.78532549,-74.74691503,42,2-Jul-20,East Basin,NFGC directly in front of white/blue cabin
9/25/2020 20:23,,22-Jul-21,,11,3,R,6,109388,3_g,45.80702215,-74.75699955,44,30-Jun-20,East Basin,Near Clear Lake
21-Jun-20,,14-Jul-21,,11,4,U,3,132367,4_e,45.79747755,-74.75593961,20,21-Jun-20,East Basin,220m N of Blueberry Island
9/25/2020 18:02,,22-Jul-21,,11,5,I,15,132365,5_g,45.8164786,-74.78028196,25,30-Jun-20,West Basin,Off point of Pat Johnson's Island
10/17/2020 14:00,,14-Jul-21,,11,6,J,14,109369,6_e,45.81090385,-74.78317902,18,25-Jun-20,West Basin,Narrows to Margaret Bay
20-Jun-20,,14-Jul-21,,11,7,G,17,109374,7_e,45.82048527,-74.79028278,18,20-Jun-20,West Basin,Behind Pine and Cypress Islands
26-Jun-20,,14-Jul-21,,11,8,F,18,132372,8_e,45.83038442,-74.77976676,15,26-Jun-20,West Basin,In front of McKinnon's house
10/17/2020 14:23,,14-Jul-21,,11,9,M,11,109383,9_e,45.83023567,-74.76747316,15,26-Jun-20,East Basin,In front of Dio Gardi House
10/17/2020 15:11,,14-Jul-21,,11,10,N,10,132370,10_e,45.82200907,-74.76228359,30,21-Jun-20,East Basin,NE of front of Levesque
10/17/2020 15:38,,14-Jul-21,,11,11,P,8,132366,11_f,45.81249547,-74.75939428,64,3-Jul-20,East Basin,Middle of Big Lake
21-Jun-20,,14-Jul-21,,11,12,T,4,132369,12_e,45.79768087,-74.7661919,10,21-Jun-20,East Basin,Entrance of Black Bay
2-Jul-20,,15-Jul-21,,11,13,A,23,132371,13_e,45.84437225,-74.76920605,47,2-Jul-20,North Basin,Hamilton Bay between islands
3-Jul-20,,15-Jul-21,,11,14,B,22,132375,14_e,45.85013,-74.76883,38,3-Jul-20,North Basin,Entrance of Bay with Harper Dock
9/25/2020 19:09,,22-Jul-21,,11,15,C,21,132373,15_g,45.85729425,-74.77798111,21,29-Jun-20,North Basin,Bay Maskinonge in front of wood cabin (across from pond)
29-Jun-20,,15-Jul-21,,11,17,E,19,132368,17_e,45.83634388,-74.77711294,24,29-Jun-20,West Basin,Off the point at Cedar Chalet
21-Jun-20,,14-Jul-21,,11,18,W,1,133569,18_c,45.77817264,-74.74135318,45,21-Jun-20,East Basin,beside ferry line closer to NE little islands
10/18/2020 10:52,,14-Jul-21,,11,19,Q,7,133571,19_c,45.80836094,-74.76786182,15,21-Jun-20,East Basin,"Presquile bay, half between litt rock and island"
20-Jun-20,,13-Jul-21,,11,20,H,16,133570,20_c,45.81094947,-74.79196672,10,20-Jun-20,West Basin,Between long isldand and osprey nest island  or fisher island and hemlock bay. 
24-Jun-20,,13-Jul-21,,11,21,K,13,133568,21_c,45.80327719,-74.78719515,10,24-Jun-20,West Basin,Just inside Monaco Bay
5-Jul-18,,1-Jul-19,,error,11,P,8,132366,11_e_error,45.81125333,-74.7593847,64,5-Jul-18,East Basin,Middle of Big Lake
29-Jun-20,,15-Jul-21,,11,16,D,20,132364,16_e,45.84562,-74.77922,15,29-Jun-20,North Basin,West of Hidden Bay off island
10/14/2020 11:25,,15-Jul-21,,11,23,S,5,109380,23_b,45.80311,-74.76561,5,21-Jun-20,East Basin,West side of big shore soal 
