Time, Fraction, Decimal ID, Hexadecimal ID, Power
44861.5382292,  0.46905, 58119,  E307,    43
44861.7009491,  0.07118, 58119,  E307,    19
44861.8951968,  0.73195, 55827,  DA13,     7
44862.0117940,  0.50808, 25485,  638D,    10
44862.1395949,  0.50992, 58119,  E307,    34
44862.2166435,  0.13778, 17262,  436E,     9
44862.4562731,  0.92663, 30639,  77AF,     9
44862.9910532,  0.15672, 49921,  C301,    50
44862.9997569,  0.31457, 15992,  3E78,    42
44863.2545370,  0.99129, 14732,  398C,    10
44864.1789352,  0.61096, 49678,  C20E,    12
44864.7762616,  0.69578, 58119,  E307,     9
44865.1944907,  0.89042, 58119,  E307,    10
44865.2226157,  0.92882, 11596,  2D4C,    51
44865.3086458,  0.17520, 58119,  E307,    11
44865.3516551,  0.81035, 14732,  398C,    11
44865.5226157,  0.69643, 23779,  5CE3,    12
44865.8306713,  0.02261, 36201,  8D69,    11
44866.1804282,  0.44181, 60537,  EC79,    11
44866.3812500,  0.23357, 45741,  B2AD,    11
44867.1071991,  0.67034,  4735,  127F,    49
44867.5388773,  0.58173, 49921,  C301,    13
44867.5409722,  0.91650, 30639,  77AF,    22
44867.6015394,  0.43238, 30687,  77DF,    10
44867.7600347,  0.74390, 36201,  8D69,    48
44867.8429051,  0.98212, 15992,  3E78,    11
44867.9787616,  0.50114,  4735,  127F,    13
44868.0170949,  0.22769, 49921,  C301,    12
44868.7829745,  0.47508, 17543,  4487,    10
44869.1631713,  0.04015, 63925,  F9B5,    52
44869.6425463,  0.58101, 49921,  C301,    39
44869.9401157,  0.01020, 49921,  C301,    42
44869.9601736,  0.86284,  4735,  127F,    49
44870.5362963,  0.73163, 17543,  4487,    11
44870.7607523,  0.96362, 60537,  EC79,    46
44871.0590394,  0.06679, 15992,  3E78,     9
44871.1362384,  0.31987, 58119,  E307,    45
44871.1383681,  0.12379, 49921,  C301,     8
44871.2145139,  0.45691, 60537,  EC79,     9
44871.2565046,  0.94830, 49921,  C301,    10
44871.7076620,  0.12710, 42476,  A5EC,     9
44871.7097222,  0.30350, 28072,  6DA8,    45
44872.5888773,  0.30883, 49921,  C301,    47
44873.0330093,  0.67291, 17543,  4487,    51
44873.3528819,  0.41124, 60537,  EC79,    13
44873.7444560,  0.26261, 58119,  E307,    11
44874.4838542,  0.00475, 25485,  638D,    13
44874.6014005,  0.32136, 17543,  4487,    12
44874.6866435,  0.09209, 49921,  C301,    51
44874.8147338,  0.66467, 23779,  5CE3,    12
