Time, Fraction, Decimal ID, Hexadecimal ID, Power
44863.7616204,  0.03595, 14732,  398C,    10
44863.8898958,  0.85564, 17543,  4487,    53
44863.9669907,  0.27713, 44510,  ADDE,    51
44863.9768171,  0.23299, 62357,  F395,    10
44864.0411921,  0.98956, 60537,  EC79,    32
44864.1054398,  0.38947, 58119,  E307,    13
44864.1536921,  0.74150, 42476,  A5EC,    12
44864.2092014,  0.99112, 17262,  436E,    16
44864.5875231,  0.47784, 25822,  64DE,    10
44864.5877431,  0.66280, 15424,  3C40,    18
44864.5900694,  0.56246, 17262,  436E,    25
44864.5913542,  0.11954, 25822,  64DE,    10
44864.5915856,  0.78431, 25822,  64DE,   137
44864.5923032,  0.76235, 25822,  64DE,   345
44864.5930208,  0.74992, 25822,  64DE,   166
44864.5932639,  0.41301, 25822,  64DE,   176
44864.6474537,  0.45081, 58535,  E4A7,    48
44864.9481713,  0.94089, 17722,  453A,    10
44865.2412616,  0.53671, 17441,  4421,    50
44865.2531713,  0.65567, 14732,  398C,    12
44865.3109606,  0.72131, 17441,  4421,    50
44865.3925000,  0.52060, 29365,  72B5,    10
44865.5005324,  0.12789,  2269,   8DD,    10
44865.5464236,  0.92800, 11596,  2D4C,    27
44865.5770023,  0.43372, 34989,  88AD,    27
44865.5774769,  0.33489, 34989,  88AD,     6
44865.5777083,  0.78945, 34989,  88AD,     8
44865.5779514,  0.24036, 34989,  88AD,    16
44865.5784259,  0.13829, 34989,  88AD,    47
44865.9453704,  0.70682, 15424,  3C40,    50
44866.1722569,  0.94653, 60537,  EC79,    13
44866.7397454,  0.68575, 17262,  436E,    12
44867.1119444,  0.62164, 60570,  EC9A,    50
44867.2616667,  0.92615, 17262,  436E,    50
44867.3461458,  0.09881, 17543,  4487,    50
44867.4554630,  0.29808, 51282,  C852,    12
44867.4765625,  0.07394, 49921,  C301,    49
44867.5477199,  0.03876, 49921,  C301,    12
44867.7152546,  0.09792,   105,    69,    11
44867.7462153,  0.23786, 34989,  88AD,    71
44867.7466898,  0.09701, 34989,  88AD,    51
44867.7537731,  0.67022, 34989,  88AD,    14
44867.7810995,  0.94886, 15424,  3C40,    10
44867.8996991,  0.86037, 17262,  436E,    51
44867.9114815,  0.44599, 17262,  436E,    52
44867.9188310,  0.63398, 34989,  88AD,    49
44867.9246759,  0.72871, 17262,  436E,    13
44867.9581481,  0.67816, 17262,  436E,    55
44868.0030208,  0.97576, 17543,  4487,    10
44868.1547685,  0.54350, 34989,  88AD,    46
44868.2181597,  0.76855, 24347,  5F1B,    50
44868.2341319,  0.18206, 34989,  88AD,    47
44868.2376852,  0.25699, 34989,  88AD,    20
44868.2412384,  0.28236, 34989,  88AD,    15
44868.2765394,  0.91708, 34989,  88AD,    48
44868.2841319,  0.12612, 34989,  88AD,    48
44868.2846065,  0.07051, 34989,  88AD,    17
44868.2850810,  0.01464, 34989,  88AD,    73
44868.2862616,  0.37752, 34989,  88AD,     8
44868.2933681,  0.57432, 34989,  88AD,    18
44868.2936111,  0.05042, 34989,  88AD,    59
44868.2940741,  0.99772, 34989,  88AD,    46
44868.2950231,  0.89183, 34989,  88AD,    12
44868.3009491,  0.68323, 34989,  88AD,    11
44868.3553704,  0.45753, 25150,  623E,    11
44868.3743981,  0.00730, 60537,  EC79,    50
44868.4750694,  0.23124, 25822,  64DE,    12
44868.6591551,  0.42652, 25485,  638D,    26
44868.9617014,  0.46051, 49921,  C301,    11
44869.0996991,  0.11194,  7482,  1D3A,    11
44869.1124537,  0.25956, 58119,  E307,    12
44869.1831829,  0.84890,  2269,   8DD,    39
44869.2761574,  0.78899, 15424,  3C40,    12
44869.5357986,  0.51105, 63381,  F795,    50
44870.1479977,  0.38865,  7482,  1D3A,    13
44870.3919213,  0.86462, 58535,  E4A7,     8
44870.4420486,  0.25116, 25822,  64DE,    11
44870.4422801,  0.91626, 25822,  64DE,    56
44870.4427662,  0.24657, 25822,  64DE,    20
44870.4434838,  0.24859, 25822,  64DE,    19
44870.4461111,  0.56680, 25822,  64DE,    46
44870.4472917,  0.00456, 36201,  8D69,    11
44870.4847917,  0.67982, 17262,  436E,    52
44870.7032755,  0.70780,   586,   24A,    19
44870.7643287,  0.94982, 34989,  88AD,     8
44870.7645718,  0.29755, 34989,  88AD,    12
44870.7652778,  0.32820, 34989,  88AD,    48
44870.7671644,  0.08880, 34989,  88AD,    10
44870.7692824,  0.19929, 34989,  88AD,    10
44870.7761111,  0.18631, 34989,  88AD,    48
44870.7770486,  0.56810, 34989,  88AD,    39
44870.7836458,  0.36859, 34989,  88AD,    48
44870.7900000,  0.93251, 34989,  88AD,    46
44870.8293519,  0.32131, 34989,  88AD,    10
44870.9188657,  0.50572, 34989,  88AD,    50
44870.9193403,  0.26244, 34989,  88AD,    12
44870.9337269,  0.46430, 34989,  88AD,    17
44870.9344329,  0.61171, 34989,  88AD,    10
44870.9403356,  0.33293, 34989,  88AD,    10
44870.9434028,  0.39343, 34989,  88AD,    50
44870.9578009,  0.16901, 34989,  88AD,    10
44870.9582639,  0.96028, 34989,  88AD,    41
44870.9594444,  0.98104, 34989,  88AD,    22
44870.9618171,  0.03902, 34989,  88AD,    11
44871.0074769,  0.65618, 44510,  ADDE,    41
44871.0706366,  0.08518, 25822,  64DE,    49
44871.0787731,  0.35981, 25822,  64DE,    10
44871.0799653,  0.78237, 25822,  64DE,    12
44871.0811690,  0.21197, 25822,  64DE,    44
44871.1268866,  0.31617, 25822,  64DE,    17
44871.1278472,  0.02508, 25822,  64DE,    13
44871.1283218,  0.37624, 25822,  64DE,    21
44871.1307176,  0.13838, 25822,  64DE,    49
44871.1309491,  0.81787, 25822,  64DE,    11
44871.1321528,  0.21285, 25822,  64DE,    10
44871.1326273,  0.56983, 25822,  64DE,    10
44871.1354977,  0.72863, 25822,  64DE,    12
44871.1364583,  0.42895, 25822,  64DE,    48
44871.3154167,  0.05719, 25822,  64DE,    49
44871.3170833,  0.70034, 25822,  64DE,    11
44871.3182755,  0.99378, 25822,  64DE,    10
44871.3185185,  0.65337, 25822,  64DE,    10
44871.3194792,  0.31293, 25822,  64DE,     9
44871.3684722,  0.34145, 60537,  EC79,    10
44871.4026389,  0.95759, 25822,  64DE,    13
44871.4031250,  0.24854, 25822,  64DE,    47
44871.4035995,  0.54144, 25822,  64DE,    11
44871.4038426,  0.18960, 25822,  64DE,    11
44871.4064699,  0.23342, 25822,  64DE,    44
44871.4071875,  0.18602, 25822,  64DE,    76
44871.4074190,  0.83721, 25822,  64DE,    74
44871.4076620,  0.49233, 25822,  64DE,     8
44871.4100463,  0.98538, 25822,  64DE,    46
44871.4613310,  0.30480, 15424,  3C40,    10
44871.5490856,  0.40857,  4735,  127F,    48
44871.6252083,  0.62080, 11596,  2D4C,   187
44871.6440046,  0.69057, 57014,  DEB6,     9
44872.0164352,  0.42871, 15992,  3E78,    11
44872.1840972,  0.07541, 51282,  C852,    50
44872.5172801,  0.34550, 15424,  3C40,    46
44872.7997454,  0.35875, 15424,  3C40,    11
44873.3337847,  0.52154, 28072,  6DA8,    14
44873.4361921,  0.52634, 58119,  E307,    11
44873.8526273,  0.16838, 52869,  CE85,    50
44874.0581134,  0.64142, 62357,  F395,    11
44874.1067940,  0.23957, 62357,  F395,    12
44874.1093866,  0.87647, 62357,  F395,    12
44874.1604630,  0.04776, 62357,  F395,    10
44874.1755903,  0.66640, 62357,  F395,    11
44874.2250347,  0.75520, 24347,  5F1B,    10
44874.3329051,  0.35923, 62357,  F395,    39
44874.3364583,  0.19596, 62357,  F395,   100
44874.3411921,  0.27509, 62357,  F395,    13
44874.3414236,  0.72136, 62357,  F395,    11
44874.3433218,  0.30173, 62357,  F395,    12
44874.3500463,  0.24638, 34989,  88AD,   112
44874.3502778,  0.72482, 34989,  88AD,    17
44874.4246296,  0.56664, 49921,  C301,    14
44874.4906134,  0.73895, 11596,  2D4C,    12
44874.4920370,  0.58281, 11596,  2D4C,    10
44874.4970139,  0.55284, 11596,  2D4C,    10
44874.5000926,  0.72590, 11596,  2D4C,    48
44874.5029398,  0.41469, 11596,  2D4C,    20
44874.5031713,  0.89380, 11596,  2D4C,    53
44874.5036458,  0.84916, 11596,  2D4C,    53
44874.5038889,  0.32753, 11596,  2D4C,    76
44874.5072106,  0.04282, 11596,  2D4C,    11
44874.7394792,  0.30367, 14732,  398C,    13
44874.8052778,  0.73115,   586,   24A,    10
44875.0094792,  0.21074, 62357,  F395,    51
44875.0120833,  0.33405, 62357,  F395,    12
44875.0236921,  0.14616, 62357,  F395,    12
44875.0253472,  0.40192, 62357,  F395,    12
44875.0255787,  0.86827, 62357,  F395,    20
44875.0262963,  0.26573, 62357,  F395,    16
44875.0293750,  0.31956, 62357,  F395,    49
44875.0296065,  0.79432, 62357,  F395,    11
44875.0298495,  0.27057, 62357,  F395,    47
44875.0305556,  0.70012, 62357,  F395,    50
44875.0310301,  0.64905, 62357,  F395,    10
44875.0312731,  0.12408, 62357,  F395,    50
44875.0322222,  0.01618, 62357,  F395,    50
44875.0324537,  0.48753, 62357,  F395,    11
44875.0331597,  0.90266, 62357,  F395,    16
44875.0336343,  0.84619, 62357,  F395,    13
44875.0341088,  0.78892, 62357,  F395,     8
44875.0345833,  0.73279, 62357,  F395,    47
44875.0353009,  0.14645, 62357,  F395,    11
44875.0355324,  0.61915, 62357,  F395,    50
44875.0362500,  0.04111, 62357,  F395,    49
