Time, Fraction, Decimal ID, Hexadecimal ID, Power
44862.9395370,  0.05988, 49453,  C12D,    43
44862.9573495,  0.43924, 30687,  77DF,    39
44863.3025000,  0.03041, 30687,  77DF,    41
44863.3123843,  0.47709, 10970,  2ADA,     7
44863.6144329,  0.27161,   586,   24A,    54
44863.6698958,  0.66033, 57014,  DEB6,    42
44863.7588310,  0.81621, 29365,  72B5,     5
44864.2821412,  0.30278,  4735,  127F,    43
44864.3441435,  0.64319,   586,   24A,    44
44864.6801620,  0.16953, 17543,  4487,    41
44864.7131134,  0.29138,  2269,   8DD,    43
44864.8636690,  0.03590, 60537,  EC79,     5
44866.8614468,  0.23525, 62357,  F395,     9
44867.2963889,  0.95346, 63381,  F795,    46
44867.3426852,  0.89740,  4735,  127F,    48
44867.3708565,  0.66607, 21757,  54FD,    10
44867.3723148,  0.36377, 30687,  77DF,    45
44867.5974769,  0.41160,  4735,  127F,    56
44867.6232407,  0.87786,   105,    69,     9
44867.9217708,  0.05326,   586,   24A,    10
44868.0161806,  0.83027,   586,   24A,    16
44868.2971412,  0.69050, 15424,  3C40,    11
44868.3280324,  0.63412, 25150,  623E,    48
44868.4848727,  0.17469, 26734,  686E,    12
44868.5700694,  0.11882, 23779,  5CE3,    11
44868.8592130,  0.51264, 30687,  77DF,    19
44869.0155208,  0.63679, 63381,  F795,    43
44869.0584259,  0.64166, 44510,  ADDE,    10
44869.1004630,  0.05650, 45741,  B2AD,    47
44869.6594444,  0.32342, 49921,  C301,    46
44870.4592477,  0.73027, 17722,  453A,    19
44870.4757292,  0.00900, 58535,  E4A7,    10
44870.5795255,  0.43730, 63381,  F795,     9
44870.6051736,  0.61192, 10970,  2ADA,    55
44870.9802199,  0.22997, 60570,  EC9A,     9
44871.0395370,  0.13800,  2269,   8DD,    52
44871.4329398,  0.82358, 60537,  EC79,    43
44871.5241319,  0.11398, 58119,  E307,    41
44871.5460995,  0.09048, 30687,  77DF,    33
44871.7292940,  0.19718, 58119,  E307,    41
44872.0040856,  0.09653,  4735,  127F,    30
44872.4759491,  0.87522, 36201,  8D69,     8
44872.4942361,  0.71104,   586,   24A,    45
44872.6607176,  0.97132, 30687,  77DF,    45
44872.6718866,  0.51232, 63381,  F795,     8
44873.0716667,  0.82691,   105,    69,    10
44873.1990509,  0.79123,  2269,   8DD,    45
44873.3355440,  0.73886,  9373,  249D,    47
44873.3385648,  0.04058,  4735,  127F,    17
44873.5065741,  0.00295, 28072,  6DA8,    48
44873.6461574,  0.28435, 35587,  8B03,    56
44873.6470023,  0.60355, 25485,  638D,    11
44873.9223843,  0.78518,  4735,  127F,    48
44874.1013079,  0.20769,  4735,  127F,    47
44874.1881366,  0.36230, 11596,  2D4C,    47
44874.2660764,  0.93861, 21757,  54FD,    35
44874.3367593,  0.43692, 34989,  88AD,    49
44874.3490162,  0.15031, 15992,  3E78,    47
44874.5051505,  0.63955, 15992,  3E78,    47
44875.3972106,  0.82252, 17543,  4487,    46
44875.4482755,  0.37564, 28072,  6DA8,    11
44875.5298958,  0.60525, 25822,  64DE,    11
44875.7316319,  0.82831, 36201,  8D69,    11
44875.7377778,  0.53923,  4735,  127F,    11
44875.7655440,  0.78520, 21757,  54FD,    44
44876.0276620,  0.68092, 14732,  398C,    46
44876.0588542,  0.51405, 21757,  54FD,    11
44876.4712731,  0.36240, 63381,  F795,    22
44876.5447338,  0.83987, 15424,  3C40,    12
44877.1740394,  0.93909, 63925,  F9B5,    46
44877.3275579,  0.50023, 60570,  EC9A,    11
44877.8145370,  0.28279, 52869,  CE85,    10
44878.0408333,  0.58346, 30687,  77DF,    45
44878.1040741,  0.02138, 17262,  436E,    11
44878.2688773,  0.42052, 60537,  EC79,    12
44878.5049306,  0.83733, 54254,  D3EE,    44
44878.6820486,  0.36357, 58535,  E4A7,    22
44878.7718981,  0.35669, 60506,  EC5A,    46
44879.0630324,  0.61444, 49921,  C301,    12
44879.1700231,  0.17069, 36201,  8D69,    48
44879.1750694,  0.23633, 49678,  C20E,    38
44879.1906597,  0.14736,  2269,   8DD,    14
44879.4710417,  0.71783,   105,    69,    49
44879.6978704,  0.41064, 58535,  E4A7,    45
44879.7259491,  0.43202, 60537,  EC79,    13
44879.7626968,  0.10598,  2269,   8DD,    14
44879.8060764,  0.89598,   586,   24A,    48
44879.9108796,  0.23246, 58119,  E307,    14
44881.9024769,  0.07435, 25485,  638D,    18
44883.3876736,  0.42688, 15424,  3C40,    54
44885.1068634,  0.48590, 60537,  EC79,    55
44885.3256597,  0.99861, 49921,  C301,    19
44887.4714583,  0.94514, 14732,  398C,    56
44889.9050579,  0.31992, 49921,  C301,    55
44892.0760880,  0.03523, 58119,  E307,    54
44895.0695949,  0.45028, 15424,  3C40,    23
44900.4393056,  0.68704, 14732,  398C,    18
44910.0226157,  0.76375, 60537,  EC79,     3
44917.3702431,  0.03317, 60537,  EC79,    42
44918.4745139,  0.27564, 60537,  EC79,    10
44933.4025810,  0.43984, 49921,  C301,    10
