Time, Fraction, Decimal ID, Hexadecimal ID, Power
44863.6057986,  0.26047, 15992,  3E78,     8
44863.6372917,  0.05081, 58119,  E307,     5
44863.7731134,  0.38299, 15424,  3C40,    48
44864.2214931,  0.32844, 60537,  EC79,    19
44865.2214468,  0.81033, 49921,  C301,    47
44865.3198611,  0.69103, 49921,  C301,     7
44865.7857407,  0.70756, 15992,  3E78,    11
44865.8882755,  0.24086, 60537,  EC79,    10
44866.6032870,  0.13997, 14732,  398C,     9
44866.7433218,  0.38448, 49921,  C301,     8
44867.1716551,  0.17577, 49921,  C301,     9
44867.2255324,  0.73617, 36201,  8D69,    24
44867.4646644,  0.24189, 17441,  4421,    10
44868.2194213,  0.68865, 30687,  77DF,     8
44868.4050231,  0.79864, 58119,  E307,    31
44868.7728704,  0.53299, 60537,  EC79,    47
44869.0119792,  0.30636, 15424,  3C40,    26
44869.0313773,  0.82387, 14732,  398C,     8
44869.4187963,  0.88360, 14732,  398C,     8
44869.6099421,  0.23669, 54254,  D3EE,    47
44869.6431713,  0.45652, 14732,  398C,    10
44869.6469444,  0.89320, 58119,  E307,    67
44869.8863310,  0.01286, 58119,  E307,     7
44869.9024769,  0.25296, 14732,  398C,     9
44869.9590625,  0.71503, 15424,  3C40,     7
44870.0868866,  0.21996, 58119,  E307,     8
44870.6976157,  0.60964,   586,   24A,    42
44871.2993056,  0.43764, 17543,  4487,     9
44871.9270370,  0.31541, 58119,  E307,     7
44872.1371065,  0.37857, 59160,  E718,    46
44872.5633681,  0.38260, 14732,  398C,     9
44873.2225116,  0.61694, 49921,  C301,     7
44874.0735880,  0.53736, 49453,  C12D,     8
44874.0757292,  0.62539,   586,   24A,     8
44874.3428241,  0.23383, 15424,  3C40,    47
44874.3484259,  0.06226,   586,   24A,    47
44874.6270139,  0.86541, 60537,  EC79,    46
44874.6509954,  0.89342, 14732,  398C,     7
44874.9044329,  0.43334, 60537,  EC79,    47
44875.3146412,  0.39040, 49921,  C301,     8
44875.4524421,  0.75172, 25485,  638D,    10
44875.7532523,  0.54225, 60537,  EC79,    40
44876.3508912,  0.77015, 30687,  77DF,    10
44877.4310995,  0.42931,  4735,  127F,     8
44878.0408565,  0.04378, 60537,  EC79,    44
44878.1230671,  0.89903, 14732,  398C,     8
44878.3515278,  0.31596,   586,   24A,    46
44878.3742708,  0.26990, 58119,  E307,     8
44878.8917824,  0.87237, 28072,  6DA8,     9
44880.1900463,  0.01546, 49921,  C301,     9
44880.7656019,  0.01390, 14732,  398C,    47
44881.2490625,  0.05950, 14732,  398C,    48
44881.2917245,  0.88516,   586,   24A,     9
44881.3800694,  0.91014, 30687,  77DF,     9
44881.4798148,  0.57360,  7482,  1D3A,     8
44881.9893171,  0.53654, 15424,  3C40,    10
44882.1583912,  0.07654, 15992,  3E78,    12
44882.7738194,  0.37804, 58119,  E307,    11
44883.5227662,  0.69244, 60537,  EC79,     8
44884.1437500,  0.04759, 60537,  EC79,    43
44884.3582176,  0.13140, 15424,  3C40,    48
44884.4958102,  0.63950, 30687,  77DF,    49
44884.5346644,  0.94046, 49921,  C301,    10
44885.3864120,  0.35501, 17441,  4421,    10
44885.4759028,  0.74128, 25485,  638D,    35
44886.4916435,  0.17673, 30687,  77DF,    21
44886.8065278,  0.71013, 60537,  EC79,    49
44886.8270139,  0.71875, 49921,  C301,    47
44887.0221875,  0.16418, 49921,  C301,    44
44887.0699306,  0.54962, 15424,  3C40,    10
44887.0875000,  0.49545, 15424,  3C40,    15
44887.4455787,  0.19293, 15992,  3E78,    48
44887.7603935,  0.79521,   586,   24A,    10
44887.7688773,  0.97108, 58119,  E307,    40
44888.1104745,  0.07241, 60537,  EC79,     9
44888.7274884,  0.20983, 14732,  398C,    49
44888.8170255,  0.11030,   105,    69,    46
44888.8640625,  0.75873, 15424,  3C40,    10
44889.1578819,  0.41916, 36201,  8D69,    13
44889.6065046,  0.24259, 17543,  4487,    26
44889.8875810,  0.31745, 15424,  3C40,    48
44890.0429282,  0.37651, 58119,  E307,    10
44890.2094444,  0.65911,   586,   24A,    49
44890.2906134,  0.46257, 14732,  398C,    10
44890.3360301,  0.05707, 58119,  E307,    11
44890.4273611,  0.78028, 17722,  453A,    32
44890.5078009,  0.64603, 58119,  E307,    47
44890.6341898,  0.07318, 58119,  E307,    41
44891.2494792,  0.15403, 15424,  3C40,    11
44891.5898727,  0.67343, 14732,  398C,     9
44892.1096412,  0.64233, 49921,  C301,    46
44892.1372338,  0.27002,  4735,  127F,    48
44892.2534491,  0.45544, 58119,  E307,    11
44892.3100231,  0.88562, 30687,  77DF,    12
44892.7859144,  0.98068,  4735,  127F,    33
44892.9789352,  0.70727, 25150,  623E,    49
44893.2353009,  0.37111, 58119,  E307,    10
44893.3417130,  0.88617, 14732,  398C,     9
44893.8492593,  0.39096, 60537,  EC79,    47
44894.0951968,  0.35899, 26734,  686E,    48
44894.1652662,  0.40836, 15424,  3C40,    35
44894.7670486,  0.45280, 25485,  638D,    10
44894.8205208,  0.35772, 17543,  4487,    10
44895.4571181,  0.67538, 17543,  4487,    48
44895.6963773,  0.32580, 15424,  3C40,     6
44896.0378935,  0.98471, 15424,  3C40,    10
44896.2456829,  0.07087, 17543,  4487,     9
44896.8731481,  0.09362, 49921,  C301,    48
44897.0691435,  0.08825, 60537,  EC79,     9
44897.2742130,  0.44455, 60537,  EC79,    48
44897.5028472,  0.08630,  4735,  127F,    11
44898.0931829,  0.84446, 25485,  638D,    10
44898.2836343,  0.49538, 17543,  4487,    31
44898.6977546,  0.68611, 58119,  E307,    49
44899.0357755,  0.27321, 60537,  EC79,    47
44899.1151736,  0.29237, 15424,  3C40,    49
44899.3658912,  0.53793, 58119,  E307,     8
44899.4111921,  0.50642, 17543,  4487,    48
44899.4317361,  0.73437, 60537,  EC79,    43
44899.4892708,  0.59827,  4735,  127F,    26
44900.1418750,  0.96165, 58119,  E307,     9
44900.3088889,  0.01939, 49921,  C301,    11
44900.6235185,  0.73003,  4735,  127F,     9
44901.1965394,  0.05102, 58119,  E307,    10
44901.5867824,  0.82833, 49921,  C301,    17
44901.9479051,  0.51484, 60537,  EC79,    47
44902.0127315,  0.38376, 58535,  E4A7,     9
44902.0917477,  0.02722,   105,    69,    48
44902.5249421,  0.28478, 60537,  EC79,    49
44902.5828009,  0.32935, 49921,  C301,     9
44902.9584144,  0.89241, 49921,  C301,    12
44902.9774074,  0.38006, 25110,  6216,    10
44903.5446181,  0.07111, 14732,  398C,    11
44903.6593750,  0.87249, 15424,  3C40,    10
44904.8401968,  0.95505, 17543,  4487,    34
44905.1505556,  0.26503, 60537,  EC79,     9
44905.3398032,  0.94422, 49921,  C301,    10
44905.6484491,  0.62587, 60537,  EC79,    49
44905.9182523,  0.77831,   105,    69,    10
44906.0269792,  0.64077, 17543,  4487,     9
44906.3649653,  0.83937,  9373,  249D,    49
44906.4611690,  0.26549, 60537,  EC79,     9
44906.9002894,  0.83625, 58119,  E307,    44
44907.1680324,  0.83596,   586,   24A,    11
44907.7266898,  0.18336, 58119,  E307,    10
44908.4066435,  0.39388, 15992,  3E78,     8
44909.1728819,  0.93556, 30687,  77DF,    49
44909.3093750,  0.56114, 49921,  C301,    49
44909.4715625,  0.48945, 17543,  4487,    10
44910.0956366,  0.51220, 14732,  398C,     9
44910.4438310,  0.50524, 30687,  77DF,    18
44910.5501852,  0.57081, 36201,  8D69,    12
44911.4308565,  0.21321, 49921,  C301,    50
44911.7471412,  0.53848, 58119,  E307,     5
44912.8204745,  0.72076, 17441,  4421,    37
44913.0884375,  0.91322, 49921,  C301,     5
44913.4908796,  0.57705, 59160,  E718,    12
44913.8885995,  0.79713, 15424,  3C40,     6
44914.3976042,  0.09511, 30687,  77DF,    46
44914.5740856,  0.74651, 15424,  3C40,    47
44914.9111458,  0.06533, 49921,  C301,     6
44915.5334606,  0.75494, 49921,  C301,     5
44915.5907176,  0.84645, 49921,  C301,     6
44916.1700000,  0.40425, 14732,  398C,     6
44916.5776273,  0.37934, 58119,  E307,     8
44916.7662269,  0.25675, 49921,  C301,     5
44917.0916319,  0.13221, 17441,  4421,     6
44917.1978125,  0.85336, 60537,  EC79,    32
44918.1179282,  0.50565, 17441,  4421,    40
44918.2062616,  0.34533, 23779,  5CE3,     7
44918.8039120,  0.54979, 49453,  C12D,    20
44918.8456829,  0.71255, 14732,  398C,     6
44918.9831250,  0.55778,   105,    69,    15
44920.1163310,  0.45828, 17262,  436E,    44
44920.4172106,  0.31442, 49921,  C301,    45
44920.5903819,  0.06182, 49921,  C301,     0
44921.0780556,  0.97007,  2269,   8DD,     7
44921.4790278,  0.38397, 58119,  E307,    47
44922.1127894,  0.12761, 49921,  C301,    11
44922.4767593,  0.38966, 60537,  EC79,    43
44922.6360185,  0.02671, 17543,  4487,     8
44922.7071644,  0.47347, 49921,  C301,     7
44922.7743866,  0.81655, 15992,  3E78,     4
44922.8796644,  0.93894, 58119,  E307,     7
44922.8881829,  0.56524, 58119,  E307,     6
44923.0348148,  0.47918,  4735,  127F,     5
44923.1842940,  0.26736, 17543,  4487,     6
44923.2553819,  0.62697, 25150,  623E,     5
44923.6686458,  0.43003, 60537,  EC79,     7
44924.0626620,  0.09835, 60537,  EC79,    48
44924.5030671,  0.71524, 15992,  3E78,     6
44925.2153125,  0.49891, 14732,  398C,    46
44925.2486806,  0.53409, 49921,  C301,     3
44925.5434838,  0.41707, 27586,  6BC2,     6
44925.9854745,  0.82137, 55827,  DA13,    46
44926.0205903,  0.63422, 49921,  C301,     7
44926.1317245,  0.31526, 58119,  E307,    10
44926.1898264,  0.10229, 49921,  C301,     5
44926.7323032,  0.89932, 60537,  EC79,     6
44926.7510995,  0.04344, 49921,  C301,    47
44926.9571296,  0.85072, 30687,  77DF,    46
44927.2823843,  0.68169,  7482,  1D3A,     5
44927.6910185,  0.30302, 15424,  3C40,     6
44927.7819329,  0.70579, 58119,  E307,     6
44928.3948148,  0.32539, 15424,  3C40,     5
44928.7516782,  0.61154, 49921,  C301,     7
44928.8303704,  0.62419, 49921,  C301,     6
44929.0035764,  0.69945, 58119,  E307,    44
44929.5212731,  0.04474, 15424,  3C40,    46
44930.0543287,  0.93086, 15424,  3C40,     5
44930.1587847,  0.44608, 59160,  E718,     6
44931.3798727,  0.14189, 14732,  398C,     8
44932.7659722,  0.71800, 49921,  C301,     7
44933.6006829,  0.21715, 63381,  F795,    57
44934.2136806,  0.15578, 30687,  77DF,    10
44934.2386806,  0.74044, 63381,  F795,     5
44934.3916667,  0.12394, 49921,  C301,     6
44934.6175926,  0.22025, 14732,  398C,     8
44934.6866551,  0.26136, 63381,  F795,    20
44934.8126389,  0.32503, 60537,  EC79,     8
44934.9667014,  0.25022, 60537,  EC79,    11
44935.9053009,  0.02750, 30687,  77DF,    48
44935.9109375,  0.11450, 15424,  3C40,     7
44936.2883449,  0.77973, 30687,  77DF,     6
44937.0479167,  0.85288, 17543,  4487,     1
44937.6068403,  0.29268, 25485,  638D,     1
44937.7273495,  0.56203, 35587,  8B03,    46
44937.9915278,  0.95166, 42476,  A5EC,    12
44938.3092130,  0.54914,  2269,   8DD,    41
44938.8021181,  0.08698,  2269,   8DD,    63
44939.2956366,  0.48055, 58119,  E307,     8
44939.6038079,  0.88324, 58119,  E307,     6
44940.2059491,  0.75259,   586,   24A,     7
44940.2813889,  0.15945, 44510,  ADDE,    26
44940.5105787,  0.98536, 49921,  C301,    13
44940.5324074,  0.48472, 14732,  398C,    12
44941.2965278,  0.32688, 60537,  EC79,     8
44941.5885880,  0.10730, 58119,  E307,    12
44942.4514236,  0.85898, 30687,  77DF,    50
44942.4613426,  0.35971, 14732,  398C,    43
44942.6089352,  0.73773, 60537,  EC79,     2
44942.6912384,  0.38140, 49921,  C301,     6
44942.8311111,  0.88547, 44510,  ADDE,    49
44943.6434259,  0.52982, 60537,  EC79,    37
44943.6734838,  0.29215, 14732,  398C,     5
44943.9518981,  0.64891, 30639,  77AF,     8
44944.0068403,  0.02813, 17543,  4487,    46
44944.0164236,  0.47791, 15424,  3C40,     2
44944.4090856,  0.90825, 55827,  DA13,    18
44944.5941667,  0.30134, 58119,  E307,     5
44944.8542361,  0.93424, 49921,  C301,     7
44945.0325810,  0.04274, 15424,  3C40,    18
44945.0405556,  0.18679, 49921,  C301,    23
44946.0969329,  0.55680, 25485,  638D,    14
44947.4940856,  0.32527, 49921,  C301,    47
44947.6320602,  0.31022,  2269,   8DD,    36
44947.9889005,  0.13651, 30687,  77DF,     4
44948.3709491,  0.53594, 60537,  EC79,     6
44948.8849421,  0.62409, 15424,  3C40,    51
44948.9246875,  0.51957, 58119,  E307,    13
44949.1168287,  0.92078, 60537,  EC79,    50
44949.4996875,  0.48055, 15424,  3C40,    50
44949.7464583,  0.67941,   586,   24A,     6
44950.5642245,  0.37826,  4735,  127F,    10
44950.5793171,  0.03530,  4735,  127F,    46
44950.6157176,  0.25694, 42476,  A5EC,    18
44950.6770833,  0.12631, 11596,  2D4C,     6
44950.7453704,  0.81691, 49921,  C301,     5
44950.8709722,  0.86983, 25822,  64DE,     5
44950.8800694,  0.53474, 35587,  8B03,     4
44951.3512037,  0.08626, 60537,  EC79,     6
44952.0059028,  0.53522, 60537,  EC79,    46
44952.2814583,  0.37723,  2269,   8DD,    48
44953.9801736,  0.31209, 14732,  398C,    43
44954.2831250,  0.81722, 58119,  E307,     2
44954.5457870,  0.23395, 49678,  C20E,     6
44955.0245718,  0.56860, 36201,  8D69,     7
44955.8834954,  0.05674, 60537,  EC79,    50
44956.4046991,  0.99604, 58535,  E4A7,     8
44957.4746528,  0.75993, 49921,  C301,     6
44957.6453356,  0.47212, 49921,  C301,    50
44957.8717708,  0.78914, 30687,  77DF,     4
44958.0772801,  0.94029, 15424,  3C40,    49
44958.1941898,  0.52617, 60537,  EC79,    46
44958.7070139,  0.83606, 36201,  8D69,    49
44959.3372454,  0.56817,   586,   24A,     7
44959.9783333,  0.42938, 15992,  3E78,     8
44960.3412963,  0.04008, 49921,  C301,     5
44961.3139468,  0.72035, 15424,  3C40,     6
44962.0986227,  0.84352, 23779,  5CE3,     6
44963.4858565,  0.54172,  4735,  127F,    13
44964.0660532,  0.26501,  4735,  127F,    46
44964.2641435,  0.78705, 17722,  453A,     7
44965.6526273,  0.22896,  4735,  127F,    42
44966.0174537,  0.61147, 49921,  C301,     9
44966.4685995,  0.17443, 60537,  EC79,     6
44966.6998495,  0.42091, 42476,  A5EC,     7
44967.1491782,  0.00811, 60537,  EC79,    56
44967.2616667,  0.44512,   586,   24A,     7
44967.9684838,  0.31771, 60537,  EC79,     0
44968.1082292,  0.74654, 30687,  77DF,     6
44968.1751157,  0.68486, 15424,  3C40,    11
44968.2566551,  0.75746, 49678,  C20E,    53
44968.2582176,  0.51336, 58119,  E307,     9
44968.8013310,  0.20563, 58119,  E307,    27
44969.0078935,  0.94917, 58119,  E307,    51
44969.1089931,  0.58915, 58119,  E307,    51
44969.1570023,  0.05683, 60537,  EC79,    53
44969.5391435,  0.17712, 28072,  6DA8,     8
44969.7357292,  0.82617, 58119,  E307,     5
44969.8520718,  0.81350, 17543,  4487,    47
44969.9991319,  0.36614, 30639,  77AF,    13
44970.2887384,  0.53726, 60537,  EC79,    52
44970.8417708,  0.88209, 58535,  E4A7,    51
44970.8556944,  0.70862,  4735,  127F,    33
44971.1276505,  0.07058, 17543,  4487,    53
44971.2492130,  0.12691, 58119,  E307,     9
44971.5412847,  0.99710,  9373,  249D,    15
44971.6906250,  0.67022, 60570,  EC9A,     4
44972.8220139,  0.02938, 49921,  C301,    51
44973.0598495,  0.53044, 16725,  4155,    51
44973.4878241,  0.26961, 49453,  C12D,     7
44974.1565394,  0.01361, 58535,  E4A7,    46
44975.4305208,  0.03907, 30687,  77DF,     3
44975.5303819,  0.01598, 15424,  3C40,     7
44976.0981597,  0.32090, 14732,  398C,     5
44976.1630787,  0.15756, 58119,  E307,     9
44976.7207639,  0.40449, 55827,  DA13,    58
44977.4987500,  0.27780, 14732,  398C,     8
44977.7412269,  0.32601, 30687,  77DF,     5
44978.1619907,  0.25279, 49921,  C301,     6
44978.4305903,  0.52080, 49921,  C301,     6
44978.9219676,  0.05635, 49921,  C301,     9
44979.2920718,  0.56894, 14732,  398C,    48
44979.2927199,  0.44198,  4735,  127F,     1
44979.3105903,  0.87141, 17722,  453A,     5
44979.3558681,  0.69686, 58535,  E4A7,   105
44979.6798611,  0.11174, 60537,  EC79,    60
44979.9009144,  0.33785, 60537,  EC79,    63
44979.9623958,  0.92322, 25150,  623E,    62
44980.7233912,  0.37500, 14732,  398C,     6
44982.5966898,  0.98478, 15424,  3C40,    40
44982.6139005,  0.85451, 30639,  77AF,     3
44982.6150926,  0.04414,  4735,  127F,     2
44982.6191551,  0.43627, 60537,  EC79,     2
44982.7186111,  0.51235, 15992,  3E78,     5
44982.7634954,  0.19694, 15992,  3E78,    42
44982.9027083,  0.97780, 60537,  EC79,    13
44983.9257176,  0.72249,  4735,  127F,    54
44984.1742014,  0.43120, 44510,  ADDE,     6
44984.6592477,  0.20304, 59160,  E718,     5
44984.7205440,  0.30009, 15992,  3E78,     7
44984.7404282,  0.48172,   586,   24A,     7
44984.9041898,  0.72287,   105,    69,     7
44984.9187037,  0.59131, 49921,  C301,    10
44985.6089583,  0.34109, 60537,  EC79,    52
44986.9574421,  0.37586, 49921,  C301,    29
44987.2419444,  0.86258, 49453,  C12D,    52
44987.3050116,  0.89222,   105,    69,     6
44987.8364815,  0.66275, 58535,  E4A7,     8
44988.7142245,  0.86131, 15992,  3E78,     9
44988.8560764,  0.37651, 49921,  C301,     5
44989.2861806,  0.19325, 15992,  3E78,    67
44989.9002778,  0.45580, 17543,  4487,    54
44990.2737037,  0.71577, 17543,  4487,     7
44990.4127662,  0.69261, 49921,  C301,     7
44990.5388773,  0.33638, 30687,  77DF,     6
44990.9043403,  0.77510, 15424,  3C40,    20
44991.2451968,  0.35097, 63381,  F795,     6
44991.2554861,  0.50061, 26734,  686E,    56
44992.4777546,  0.49125, 57014,  DEB6,     6
44992.4937037,  0.41918, 15424,  3C40,     9
44993.2873032,  0.79826, 59160,  E718,     6
44993.9797685,  0.33029, 15424,  3C40,     5
44994.0797917,  0.09958, 60537,  EC79,     8
44994.2679977,  0.99270, 17722,  453A,    57
44994.3159259,  0.36014, 59160,  E718,     7
44994.8120370,  0.25353, 49921,  C301,     3
44995.3262037,  0.59592, 15424,  3C40,     7
44996.7604630,  0.03943, 17543,  4487,    11
44996.9598264,  0.70055, 58119,  E307,     6
44997.0132060,  0.25613, 15424,  3C40,     5
44997.2690046,  0.72230, 49921,  C301,    58
44997.8444444,  0.85247, 17722,  453A,    56
44998.1715509,  0.82151,  4735,  127F,    11
45000.0250347,  0.94079,   105,    69,     4
45000.3256250,  0.72667, 15424,  3C40,    56
45000.7448611,  0.72299, 49921,  C301,    59
45002.3844097,  0.20585, 49921,  C301,    31
45002.6415278,  0.40956,  4735,  127F,    20
45002.9574653,  0.42739, 60537,  EC79,    58
45003.1552315,  0.67108, 26734,  686E,     8
45003.7923264,  0.24518, 49921,  C301,    57
45003.9863310,  0.08590, 49921,  C301,     7
45005.4794907,  0.64039, 55827,  DA13,     9
45005.9285995,  0.27485, 15992,  3E78,    59
45005.9879398,  0.95337, 58119,  E307,    59
45006.0174769,  0.79096, 25485,  638D,    56
45006.7804630,  0.83407, 60537,  EC79,     8
45007.0827315,  0.27525, 42476,  A5EC,     7
45007.1590162,  0.36273, 49921,  C301,     8
45007.1610880,  0.66635, 58119,  E307,    39
45007.2445833,  0.21734, 60537,  EC79,    28
45007.8567477,  0.38894,   105,    69,     8
45007.9959375,  0.57964, 15424,  3C40,     7
45008.0963657,  0.75285, 15424,  3C40,    55
45009.1022106,  0.15355, 62357,  F395,    18
45009.2389236,  0.37706, 49921,  C301,     9
45009.5174884,  0.74179, 58119,  E307,     7
45009.7131250,  0.81129, 54254,  D3EE,    58
45009.8202315,  0.42628, 15424,  3C40,    57
45009.9169097,  0.46742, 17441,  4421,     8
45010.4473495,  0.74510, 59160,  E718,     5
45010.6821065,  0.87412, 30687,  77DF,    58
45010.7092245,  0.12849, 15424,  3C40,    41
45010.9570370,  0.95932, 17262,  436E,     9
45010.9618056,  0.56445, 49921,  C301,    44
45011.7189005,  0.10082, 49453,  C12D,    60
45011.7632407,  0.11066, 60537,  EC79,     7
45011.8326042,  0.18787, 60537,  EC79,    60
45012.4134375,  0.12206, 58119,  E307,    56
45012.7311458,  0.33876,  9373,  249D,    17
45013.0887269,  0.55944, 14732,  398C,    55
45013.0983565,  0.93945, 58119,  E307,     8
45013.1989699,  0.08573, 17543,  4487,    55
45013.7508102,  0.05162, 17543,  4487,     8
45013.9043287,  0.53030, 59160,  E718,     8
45014.0548727,  0.58924, 60537,  EC79,    60
45014.0560880,  0.67007, 11596,  2D4C,     8
45014.0600694,  0.15038, 26734,  686E,     9
45015.5552894,  0.23707, 14732,  398C,    60
45015.5784144,  0.57136, 58119,  E307,    10
45016.1793866,  0.68932, 15424,  3C40,     8
45018.1747569,  0.98373, 55827,  DA13,    63
45019.2705556,  0.83368, 15424,  3C40,     6
