Time, Fraction, Decimal ID, Hexadecimal ID, Power
44865.7020718,  0.31665, 58119,  E307,     6
44865.7768634,  0.90482, 17543,  4487,     7
44866.4035185,  0.04238,   586,   24A,    47
44866.8623148,  0.17337, 49921,  C301,     7
44867.1939815,  0.84604, 15424,  3C40,     7
44869.5820833,  0.41191, 15424,  3C40,     9
44871.5773958,  0.80236, 15424,  3C40,    48
44871.7323495,  0.42465, 17441,  4421,     9
44871.9990972,  0.94713, 14732,  398C,    47
44873.3208912,  0.91396, 15424,  3C40,    38
44873.3573148,  0.44203, 14732,  398C,    10
44891.0318750,  0.13771, 15424,  3C40,    24
45017.3081481,  0.19416, 30687,  77DF,    63
45017.3175116,  0.56392,  2269,   8DD,    54
45020.7760301,  0.61272, 49921,  C301,    59
45020.7964352,  0.89332, 49921,  C301,    13
45020.7966782,  0.89049, 49921,  C301,    25
45023.0800579,  0.65649, 35587,  8B03,    48
45023.3765741,  0.33777, 14732,  398C,    30
45026.3477431,  0.98637, 58119,  E307,    11
45026.3858218,  0.53428, 49921,  C301,    69
45029.7765046,  0.16891, 62357,  F395,    61
45029.7793981,  0.40716, 58119,  E307,    10
45030.1663310,  0.55730, 14732,  398C,    68
45031.0398495,  0.01087, 14732,  398C,    18
45031.3495602,  0.50270, 58119,  E307,    48
45031.4652315,  0.69777, 60537,  EC79,    78
45031.6152083,  0.89757, 15424,  3C40,    18
45031.7431713,  0.13843, 17543,  4487,    38
45032.3191782,  0.35145, 58535,  E4A7,    35
45032.3478819,  0.50803, 49921,  C301,    16
45032.8096991,  0.21384, 49921,  C301,    71
45032.9294676,  0.67967, 30687,  77DF,     8
45033.2567477,  0.70351, 49921,  C301,     8
