Time, Fraction, Decimal ID, Hexadecimal ID, Power
44861.6589468,  0.44275, 36201,  8D69,    13
44861.9253241,  0.70780, 60537,  EC79,    53
44862.1694792,  0.43380, 49678,  C20E,    55
44862.3137500,  0.28308, 58119,  E307,    15
44862.4183102,  0.48674, 11596,  2D4C,    13
44863.4517593,  0.53558, 58119,  E307,    61
44863.5455671,  0.68642,   586,   24A,    15
44863.5780671,  0.69419, 15424,  3C40,    19
44863.7370255,  0.14169, 27586,  6BC2,    54
44863.8474884,  0.11964, 30687,  77DF,    31
44863.8484722,  0.67989, 25485,  638D,    55
44864.0470949,  0.63100, 30687,  77DF,    56
44864.3004051,  0.07872, 62357,  F395,    17
44864.4893403,  0.74954, 14732,  398C,    16
44864.8012384,  0.66206, 14732,  398C,    50
44864.9745833,  0.26748, 57014,  DEB6,    21
44865.6144792,  0.59774, 34989,  88AD,    15
44865.9118287,  0.57883, 49921,  C301,    55
44865.9846065,  0.76367, 17441,  4421,    16
44866.0515394,  0.37944, 42476,  A5EC,    54
44866.3733102,  0.07582, 59160,  E718,    41
44866.8529861,  0.46053, 28072,  6DA8,    19
44867.0207986,  0.93870,  4735,  127F,    15
44867.4969907,  0.50332, 49921,  C301,    16
44867.9390046,  0.90690, 42476,  A5EC,    16
44868.2056944,  0.81511, 60537,  EC79,    15
44868.3935648,  0.42552,   105,    69,    45
44868.5042130,  0.06989, 49453,  C12D,    27
44868.5650463,  0.08794, 17543,  4487,    15
44869.1360995,  0.30962, 58119,  E307,    16
44869.2647569,  0.84026, 28072,  6DA8,    55
44869.3167477,  0.17923, 30639,  77AF,    54
44869.5689120,  0.34850, 15424,  3C40,    15
44869.7537269,  0.39840, 41555,  A253,    14
44870.1031481,  0.58749, 60537,  EC79,    15
44870.4276042,  0.80270, 24347,  5F1B,    21
44870.6562963,  0.88310, 14732,  398C,    53
44871.5493519,  0.48309, 58119,  E307,    53
44871.6311690,  0.48124,   586,   24A,    24
44871.8872338,  0.27521, 30639,  77AF,     9
44872.7478241,  0.27398, 15424,  3C40,    15
44872.8110185,  0.24122, 15424,  3C40,    17
44872.8727315,  0.66813, 49921,  C301,    51
