Time, Fraction, Decimal ID, Hexadecimal ID, Power
44865.5182870,  0.35145, 53926,  D2A6,    41
44865.5190046,  0.00026, 53926,  D2A6,     4
44865.5192361,  0.55159, 53926,  D2A6,     3
44865.5201852,  0.74452, 53926,  D2A6,    45
44865.5204282,  0.29400, 53926,  D2A6,    25
44865.5206597,  0.84237, 53926,  D2A6,     6
44865.5211343,  0.93714, 53926,  D2A6,     8
44865.5230440,  0.31737, 53926,  D2A6,    48
44865.5282755,  0.29779, 53926,  D2A6,    49
44865.5285069,  0.84035, 53926,  D2A6,    12
44865.5330324,  0.16003, 53926,  D2A6,    48
44865.5363542,  0.73538, 53926,  D2A6,    10
44865.6701736,  0.22034, 53926,  D2A6,    46
44865.6706481,  0.29049, 53926,  D2A6,     9
44865.6708796,  0.82343, 53926,  D2A6,    48
44865.7307639,  0.49696, 30687,  77DF,    10
44866.4676273,  0.29357, 15424,  3C40,    13
44866.9195833,  0.59140, 53926,  D2A6,    11
44866.9375926,  0.12341, 53926,  D2A6,   297
44867.0171644,  0.19327, 41555,  A253,    47
44867.9464583,  0.48813, 60537,  EC79,    19
44868.2065972,  0.65378, 60537,  EC79,    48
44868.2984144,  0.08842, 60537,  EC79,    49
44868.5127083,  0.81688, 53926,  D2A6,    46
44868.6825810,  0.43742, 53926,  D2A6,    10
44868.9465394,  0.28521, 49921,  C301,    47
44869.2310069,  0.94139, 30687,  77DF,    11
44869.7361574,  0.16149, 49921,  C301,    11
44870.4950347,  0.30549, 60537,  EC79,     8
44870.5017940,  0.13034, 53926,  D2A6,   201
44870.5367593,  0.35748,  7482,  1D3A,    45
44870.9517593,  0.53025, 14732,  398C,     8
44871.5082407,  0.69484, 58119,  E307,    42
44871.8889699,  0.75614, 60537,  EC79,     7
44871.9413310,  0.25373, 53926,  D2A6,    42
44871.9417940,  0.47930, 53926,  D2A6,     8
44872.5016088,  0.85276, 42185,  A4C9,    43
44872.5018519,  0.00142, 42185,  A4C9,    43
44873.1511574,  0.78849,  2269,   8DD,    12
44873.1547917,  0.58101,   105,    69,    46
44873.6817940,  0.03979, 23779,  5CE3,   202
44873.6820255,  0.41361, 23779,  5CE3,   280
44874.6791319,  0.66218, 14732,  398C,    13
44874.7709375,  0.60103, 36201,  8D69,    48
44875.6097801,  0.85127, 49921,  C301,    11
44876.6067014,  0.94158, 15424,  3C40,    13
44877.0609491,  0.85310, 16725,  4155,    46
44877.4434954,  0.42372, 58119,  E307,    47
44877.7339352,  0.40718, 53926,  D2A6,    46
44877.7365278,  0.56479, 53926,  D2A6,    45
44878.0288773,  0.56191, 15424,  3C40,    38
44878.3369329,  0.77500, 53926,  D2A6,    48
44878.3376505,  0.19281, 53926,  D2A6,    53
44878.3388310,  0.55699, 53926,  D2A6,    11
44878.3390741,  0.02998, 53926,  D2A6,    13
44878.3395370,  0.97329, 53926,  D2A6,    18
44878.3400116,  0.91372, 53926,  D2A6,    13
44878.3402546,  0.37507, 53926,  D2A6,    42
44878.3404861,  0.84031, 53926,  D2A6,    48
44878.3407292,  0.30895, 53926,  D2A6,    47
44878.3421528,  0.13303, 53926,  D2A6,    10
44878.3428588,  0.54696, 53926,  D2A6,    11
44878.3431019,  0.01073, 53926,  D2A6,    12
44878.3438079,  0.40536, 53926,  D2A6,    48
44878.3442824,  0.33871, 53926,  D2A6,    19
44878.3445139,  0.81127, 53926,  D2A6,    12
44878.3466551,  0.03758, 53926,  D2A6,    11
44878.3468866,  0.50496, 53926,  D2A6,    37
44878.3473611,  0.43682, 53926,  D2A6,    46
44878.3478356,  0.37948, 53926,  D2A6,    12
44879.7657870,  0.13761, 53926,  D2A6,   201
44879.7660185,  0.83678, 53926,  D2A6,   356
44879.8321759,  0.23073, 14732,  398C,    13
44880.0944097,  0.20805, 14732,  398C,    14
44881.3298843,  0.50491, 58119,  E307,    16
44881.6331366,  0.76161,  4735,  127F,    25
44882.2371528,  0.08810,   105,    69,    51
44882.7275810,  0.29347, 15424,  3C40,    14
44883.0337269,  0.93777, 36201,  8D69,    14
44883.1433912,  0.13171,   105,    69,    51
44883.9889468,  0.16373, 15424,  3C40,    14
44884.1697222,  0.15434, 49921,  C301,    48
44884.6994329,  0.48288,  2269,   8DD,     7
44885.3708102,  0.89608,  4735,  127F,    43
44892.8816782,  0.79149,   105,    69,     8
44894.8470718,  0.02141,  7482,  1D3A,     6
44896.0005440,  0.17913, 30687,  77DF,     7
44899.7014583,  0.92133, 15424,  3C40,    45
44900.6549537,  0.86368,  4735,  127F,     7
44901.1057639,  0.35227, 15424,  3C40,     9
44901.1242708,  0.91288, 60537,  EC79,     5
44901.1667708,  0.49408, 15424,  3C40,     4
44902.1371875,  0.38810, 60537,  EC79,     6
44903.1920949,  0.83114, 15992,  3E78,    43
44905.0953125,  0.07442,  4735,  127F,    43
44906.0305324,  0.86735,  9373,  249D,    44
44906.4814352,  0.29604, 15424,  3C40,    36
44906.7723148,  0.44037, 49921,  C301,    43
44967.0846875,  0.86524, 58535,  E4A7,    17
44968.3108333,  0.14870, 60537,  EC79,    54
44968.5643287,  0.09746, 17543,  4487,    58
44968.6616782,  0.62119, 36201,  8D69,    57
44969.4897106,  0.75950, 30687,  77DF,    46
44970.2702315,  0.21715, 27586,  6BC2,    47
44970.7462037,  0.21067, 60537,  EC79,     7
44971.0535185,  0.64084,  4735,  127F,     6
44972.0153241,  0.36180, 60537,  EC79,    46
44973.1638542,  0.46171, 21757,  54FD,     5
44973.6304398,  0.54285, 15424,  3C40,    48
44974.5913889,  0.24861, 30687,  77DF,    46
44977.8358681,  0.24137, 49921,  C301,     6
44978.3122222,  0.19094, 14732,  398C,     8
44980.8600926,  0.72369, 30687,  77DF,     6
44981.1614699,  0.77519, 58119,  E307,     4
44981.8574884,  0.29457,   586,   24A,     1
44986.2600463,  0.21465, 30687,  77DF,    44
44986.3712037,  0.94286, 14732,  398C,    47
44988.3261806,  0.74066, 60537,  EC79,    49
44989.4556366,  0.47296, 60537,  EC79,     3
44989.4685301,  0.18686, 27586,  6BC2,    56
44989.6542130,  0.00754, 15992,  3E78,     8
44989.6957870,  0.03562, 30687,  77DF,    10
44990.6257060,  0.40884,   586,   24A,    10
44992.3493866,  0.94041, 25485,  638D,     6
44992.4212847,  0.86481, 60506,  EC5A,    27
44992.5956597,  0.34370, 36201,  8D69,    26
44993.6263773,  0.06926, 60537,  EC79,     9
44993.7599074,  0.10543, 60537,  EC79,     6
44993.9817940,  0.94372, 54254,  D3EE,    48
44994.2025810,  0.01927, 30687,  77DF,    49
44998.3278704,  0.54000, 14732,  398C,    54
44999.3043750,  0.35647, 36201,  8D69,    11
45001.7796412,  0.91725, 17441,  4421,    43
45002.5943750,  0.49951,  2269,   8DD,     5
45003.4931713,  0.42672, 59160,  E718,    49
45004.3635995,  0.56808, 49921,  C301,    10
45004.5519444,  0.13601, 23779,  5CE3,    48
45004.6530324,  0.56630, 30687,  77DF,     7
45004.6910532,  0.54475,   586,   24A,    48
45004.9873843,  0.70166, 30687,  77DF,    49
45005.1357292,  0.48295, 30687,  77DF,     6
45005.2635417,  0.89625, 60537,  EC79,    45
45005.7021991,  0.03718, 15424,  3C40,    50
45005.9942477,  0.58310, 49921,  C301,    50
45006.8486574,  0.65337, 36201,  8D69,    47
45007.0750463,  0.73082, 17722,  453A,    36
45007.5757639,  0.48592, 58119,  E307,    48
45008.0411111,  0.01634, 52869,  CE85,    50
45008.1779514,  0.29522, 36201,  8D69,     8
45008.2993171,  0.56668, 53926,  D2A6,     5
45008.9556713,  0.91079,   586,   24A,    49
45009.5062731,  0.98279, 49921,  C301,    50
45009.6518634,  0.01968, 36201,  8D69,    50
45009.8666319,  0.84119, 58119,  E307,     7
45010.6795833,  0.84815, 53926,  D2A6,   142
45010.7072222,  0.58956, 53926,  D2A6,   199
45010.7900926,  0.67103, 60537,  EC79,    52
45011.0632292,  0.46807, 58119,  E307,    50
45011.5112731,  0.12691, 49921,  C301,    34
45013.3594213,  0.79814, 53926,  D2A6,    50
45014.0956250,  0.58749, 49921,  C301,    52
45014.1227662,  0.66887, 60537,  EC79,    52
45015.3824884,  0.62949, 53926,  D2A6,   153
45015.3832292,  0.08810, 53926,  D2A6,    32
45015.3844444,  0.82797, 53926,  D2A6,    55
45015.3876273,  0.72499, 53926,  D2A6,    44
45015.3881250,  0.02537, 53926,  D2A6,    63
45015.3886111,  0.32006, 53926,  D2A6,    56
45015.3886111,  0.32071, 53926,  D2A6,    58
45015.6862384,  0.89322, 30687,  77DF,     5
45016.1670718,  0.22291, 26734,  686E,     8
45018.1051273,  0.75079, 58119,  E307,    28
45018.9949074,  0.52653, 58119,  E307,     6
45019.1235995,  0.91209, 30687,  77DF,    43
45019.3270023,  0.41625, 30639,  77AF,    50
45019.5903241,  0.22214, 15424,  3C40,    51
45019.7466898,  0.47203, 14732,  398C,    53
45020.6740162,  0.62774, 53926,  D2A6,    51
45022.8561574,  0.80308, 49921,  C301,    23
45023.4088310,  0.88463, 36201,  8D69,    52
45023.7406597,  0.94658, 19046,  4A66,    47
45023.8378472,  0.29297, 17543,  4487,    52
45024.0572917,  0.92507, 58119,  E307,    80
45024.0921759,  0.82382, 58535,  E4A7,    82
45024.3096296,  0.94050,   105,    69,    39
45024.4630787,  0.94367, 58119,  E307,    37
45025.4062037,  0.53760, 47829,  BAD5,    99
45025.4074074,  0.96839, 47829,  BAD5,    94
45025.4093519,  0.01505, 47829,  BAD5,    41
45025.7506134,  0.56942, 25150,  623E,    81
45026.1753356,  0.76363, 30687,  77DF,    38
45026.9973380,  0.19349, 14732,  398C,    36
45027.2335648,  0.53462, 30687,  77DF,    81
45028.0753704,  0.46348,  2269,   8DD,    78
45028.6185301,  0.36561, 30687,  77DF,    34
45028.9743866,  0.24355, 53926,  D2A6,    33
45028.9779282,  0.72076, 53926,  D2A6,    37
45028.9821875,  0.49768, 53926,  D2A6,    29
45028.9824190,  0.92658, 53926,  D2A6,    71
45028.9828935,  0.79295, 53926,  D2A6,    72
45028.9845486,  0.82015, 53926,  D2A6,    75
45028.9857292,  0.98771, 53926,  D2A6,    33
45028.9859722,  0.41887, 53926,  D2A6,    77
45028.9885764,  0.18017, 53926,  D2A6,    73
45028.9892824,  0.48460, 53926,  D2A6,    33
45028.9902315,  0.21653, 53926,  D2A6,    33
45028.9911690,  0.95092, 53926,  D2A6,    32
45028.9925926,  0.54316, 53926,  D2A6,    75
45028.9932986,  0.84952, 53926,  D2A6,    32
45028.9940162,  0.15902, 53926,  D2A6,    31
45028.9944907,  0.03091, 53926,  D2A6,    33
45028.9951968,  0.34037, 53926,  D2A6,    76
45028.9956713,  0.21758, 53926,  D2A6,    73
45028.9959028,  0.65575, 53926,  D2A6,    55
45028.9966088,  0.96916, 53926,  D2A6,    30
45028.9968519,  0.40454, 53926,  D2A6,    74
