"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-07 11:50:02,"VR2W-109388","A69-9006-14588",NA,1294369,16.3727,"m",NA,NA,NA
2018-07-07 11:51:31,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:52:57,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:54:26,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:57:37,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:59:28,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:01:46,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:02:28,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 12:03:37,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:04:39,"VR2W-109388","A69-9006-14560",NA,1294355,0.9095,"m",NA,NA,NA
2018-07-07 12:05:52,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:07:38,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:09:33,"VR2W-109388","A69-9006-14588",NA,1294369,16.9791,"m",NA,NA,NA
2018-07-07 12:09:44,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:10:11,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 12:11:11,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:12:13,"VR2W-109388","A69-9006-14587",NA,1294369,5.6692,"°C",NA,NA,NA
2018-07-07 12:12:39,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:15:48,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:17:08,"VR2W-109388","A69-9006-14587",NA,1294369,5.6692,"°C",NA,NA,NA
2018-07-07 12:17:37,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:19:20,"VR2W-109388","A69-9006-14560",NA,1294355,1.2127,"m",NA,NA,NA
2018-07-07 12:19:51,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:23:33,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:24:29,"VR2W-109388","A69-9002-10687",NA,NA,87,"ADC",NA,NA,NA
2018-07-07 12:26:07,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:28:29,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:29:54,"VR2W-109388","A69-9002-10687",NA,NA,67,"ADC",NA,NA,NA
2018-07-07 12:30:27,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:32:04,"VR2W-109388","A69-9002-10687",NA,NA,74,"ADC",NA,NA,NA
2018-07-07 12:32:59,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:35:17,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:38:57,"VR2W-109388","A69-9002-10687",NA,NA,54,"ADC",NA,NA,NA
