"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-05 03:42:34,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 03:47:13,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 03:52:10,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 03:54:14,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 03:55:38,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:00:02,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:01:42,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:06:09,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:08:27,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:10:19,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:12:40,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:14:40,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:17:15,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:23:33,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:31:59,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:35:42,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:37:26,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:39:32,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:41:00,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:42:34,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:46:24,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 04:58:33,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 05:03:46,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 05:06:12,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 05:08:19,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-05 05:09:52,"VR2W-109369","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
